correct	entityFindRange	findAns	findTrueEntity	findTrueRelation	languageLength	numOfCandidateEntity	numOfEntityLinkings	topWitchEntitySelected	topWitchRelationSelected	trueEntityLength	useFulTop1Entity	useFulTop1Relation
0	1	1	0	1	9	4	6	2	0	4	0	1
1	0	1	1	1	6	5	1	0	0	2	1	1
0	0	1	0	0	10	6	6	1	2	5	0	0
0	1	1	0	0	9	2	1101	0	0	4	1	1
1	0	1	1	1	14	8	1	0	0	6	1	1
1	0	1	1	1	7	5	2	0	0	2	1	1
0	0	1	0	1	9	6	3	0	0	3	1	1
1	0	1	1	1	9	6	1	0	0	3	1	1
1	0	1	1	1	9	5	1	0	0	2	1	1
1	0	1	1	1	4	2	1	0	0	2	1	1
0	0	1	0	1	9	2	4	0	0	1	1	1
1	0	1	1	1	8	2	1	0	0	2	1	1
0	1	1	0	1	12	6	17	1	0	5	0	1
1	1	1	1	1	7	3	11	1	0	1	0	1
0	1	1	0	0	11	3	10	1	0	3	0	1
1	0	1	1	1	5	5	1	0	0	2	1	1
1	0	1	1	1	7	4	1	0	0	2	1	1
1	0	1	1	1	8	4	3	1	0	2	0	1
1	0	1	1	1	9	4	1	0	0	2	1	1
1	0	1	1	1	6	4	6	0	0	2	1	1
1	0	1	1	1	8	6	1	0	0	4	1	1
1	0	1	1	1	8	3	42	1	0	2	0	1
1	0	1	1	1	7	3	4	0	0	2	1	1
0	1	1	0	0	7	4	44	2	2	1	0	0
1	1	1	1	1	8	3	19	0	0	2	1	1
1	0	1	1	1	5	4	1	0	0	2	1	1
1	1	1	1	1	11	5	4	0	0	3	1	1
0	0	0	0	1	6	4	1	0	0	3	1	1
1	0	1	1	1	10	5	1	0	0	2	1	1
0	1	1	0	0	11	6	354	0	0	6	1	1
1	0	1	1	1	9	5	1	0	0	2	1	1
1	0	1	1	1	10	4	1	0	0	2	1	1
0	0	1	1	0	7	2	1	0	0	2	1	1
1	0	1	1	1	7	4	14	0	0	2	1	1
0	1	0	0	1	6	5	3	0	0	3	1	1
1	0	1	1	1	4	2	16	0	0	1	1	1
1	0	1	1	1	8	4	2	0	0	3	1	1
1	0	1	1	1	9	5	27	0	0	2	1	1
0	0	1	1	0	8	4	1	0	0	2	1	1
1	1	1	1	1	18	13	1	0	0	9	1	1
1	1	1	1	1	10	4	1	0	0	3	1	1
1	1	1	1	1	6	3	1	1	0	1	0	1
0	1	1	0	0	13	7	354	0	0	6	1	1
0	1	1	0	0	8	3	92	1	1	2	0	0
1	0	1	1	1	12	8	1	0	1	5	1	0
1	0	1	1	1	9	7	2	0	0	3	1	1
1	1	1	1	1	9	5	1	0	2	3	1	0
0	0	1	0	0	4	4	10	1	0	2	0	1
1	0	1	1	1	8	4	1	1	0	2	0	1
1	1	1	1	1	8	6	1	0	1	3	1	0
1	0	1	1	1	8	7	2	0	0	3	1	1
0	1	1	1	0	7	3	21	1	2	1	0	0
0	1	1	1	0	10	6	19	0	2	3	1	0
1	0	1	1	1	5	6	7	0	0	3	1	1
0	0	1	0	0	8	3	9	0	3	2	1	0
1	0	1	1	1	6	2	1809	0	0	1	1	1
1	0	1	1	1	9	5	1	0	0	2	1	1
0	0	1	0	1	7	5	6	0	0	1	1	1
1	0	1	1	1	6	5	1	0	0	2	1	1
1	0	1	1	1	4	2	8	0	0	1	1	1
0	0	0	1	0	9	5	2	0	0	2	1	1
1	0	1	1	1	9	3	1	0	0	2	1	1
0	0	0	0	1	14	1	1	0	0	1	1	1
1	0	1	1	1	7	4	1	0	0	2	1	1
0	0	1	0	0	10	6	600	4	0	4	0	1
1	0	1	1	1	9	7	10	0	0	4	1	1
1	0	1	1	1	6	4	1	0	0	2	1	1
1	0	1	1	1	6	6	2	0	1	3	1	0
0	1	0	0	1	7	3	7	0	0	2	1	1
1	0	1	1	1	4	4	15	0	0	1	1	1
1	0	1	1	1	6	5	4	0	0	2	1	1
1	0	1	1	1	10	4	1	0	0	2	1	1
1	0	1	1	1	7	3	1	0	0	2	1	1
1	0	1	1	1	7	4	2	0	0	2	1	1
1	0	1	1	1	7	4	1	0	1	2	1	0
0	0	1	0	0	8	7	12	0	0	1	1	1
0	1	0	0	0	9	3	10	0	0	7	1	1
1	0	1	1	1	6	5	1	0	0	2	1	1
1	0	1	1	1	7	3	7	0	0	2	1	1
1	0	1	1	1	5	4	1	0	0	2	1	1
1	1	1	1	1	10	3	1	0	0	2	1	1
1	1	1	1	1	10	2	582	1	0	1	0	1
1	0	1	1	1	5	3	1	0	0	2	1	1
0	1	0	1	0	8	1	1	0	0	2	1	1
